category,subcategory,product_name,versions
Bath,Bath Bomb,Aubergine,all
Bath,Bath Bomb,Ninja,all
Bath,Bath Bomb,Black Rose,all
Bath,Bath Bomb,Blue Gardenia,all
Bath,Bath Bomb,Bath Salt Cube,all
Bath,Bath Bomb,Calavera,all
Bath,Bath Bomb,Flight,all
Bath,Bath Bomb,Geode,all
Bath,Bath Bomb,Golden Slumbers,all
Bath,Bath Bomb,Goldrush,all
Bath,Bath Bomb,Honey I Washed The Kids,all
Bath,Bath Bomb,Kitsune,all
Bath,Bath Bomb,Lucky Cat,all
Bath,Bath Bomb,Roar!,all
Bath,Bath Bomb,Rocket Science,all
Bath,Bath Bomb,Rose Butterfly,all
Bath,Bath Bomb,Rose Clay Bath Salt Cube,all
Bath,Bath Bomb,Royalty,all
Bath,Bath Bomb,Strawberries and Cream,all
Bath,Bath Bomb,Tengri,all
Bath,Bath Bomb,The Olive Branch,all
Bath,Bath Bomb,Think Pink,all
Bath,Bath Bomb,Turtle Jelly,all
Bath,Bath Bomb,Yuzu & Cocoa,all
Bath,Bath Oil,Ain't No Mountain High Enough,all
Bath,Bath Oil,Angels,all
Bath,Bath Oil,Cream,all
Bath,Bath Oil,Demons,all
Bath,Bath Oil,Double Vitality,all
Bath,Bath Oil,Dreamtime Bath Melt,all
Bath,Bath Oil,Floating Island,all
Bath,Bath Oil,Flowers Barrow,all
Bath,Bath Oil,Furze,all
Bath,Bath Oil,High Violet,all
Bath,Bath Oil,I Want A Pony,all
Bath,Bath Oil,Imp-atient,all
Bath,Bath Oil,Lets Get It On,all
Bath,Bath Oil,Love Is The Way,all
Bath,Bath Oil,Magnificent,all
Bath,Bath Oil,Mmmelting Marshmallow Moment,all
Bath,Bath Oil,One Kiss,all
Bath,Bath Oil,Polyamorous,all
Bath,Bath Oil,Revelations,all
Bath,Bath Oil,Savior,all
Bath,Bath Oil,You've Been Mangoed,all
Bath,Bubbles,Akaname,all
Bath,Bubbles,Bathos,all
Bath,Bubbles,Candy Bubble Brush,all
Bath,Bubbles,Dirty,all
Bath,Bubbles,Erlenmeyer Flask,all
Bath,Bubbles,Excavation,all
Bath,Bubbles,Gold Finger,all
Bath,Bubbles,Keep It Fluffy,all
Bath,Bubbles,Love Is The Way,all
Bath,Bubbles,Party Popper,all
Bath,Bubbles,Relax… Take A Bath,all
Bath,Bubbles,Return to Emerald City,all
Bath,Bubbles,Sugar Rush,all
Bath,Bubbles,Stargazer,all
Shower,Shower Gel,Almond Blossom,all
Shower,Shower Moisturiser,Argan Dragon,all
Shower,Shower Scrub,Big Buffy,all
Shower,Shower Scrub,Easy Peeler,all
Shower,Shower Scrub,Soya Bran,all
Shower,Shower Bomb,Blue Pill,all
Shower,Shower Bomb,Love,all
Shower,Shower Bomb,Luck,all
Shower,Shower Bomb,Meditation,all
Shower,Shower Bomb,Supernatural,all
Shower,Shower Bomb,Tantric Energy,all
Body,Hands,Frangipani Glove,all
Body,Hands,Salted Coconut,all
Body,Lotion,Karma Kream,all
Body,Lotion,Little Pot of Energy,all
Body,Lotion,Dream Cream,naked
Body,Lotion,Pansy,naked
Body,Lotion,Sleepy,naked
Body,Lotion,Sympathy For The Skin,naked
Body,Lotion,Oat,all
Body,Balm,Elbow Grease,all
Body,Balm,Ultrabalm,all
Body,Balm,Vegelene,all
